scheme_code,fund_name,fund_type,nav,nav_change_pct
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Debt,12.6721,0.0
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,Debt,17.1427,0.0
123693,Kotak Banking and PSU Debt Direct - Growth,Debt,70.4227,0.0
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Debt,10.2559,0.0
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,Debt,14.3176,0.0
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,Debt,38.6739,0.0
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,Debt,14.5651,0.0
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,Debt,10.061,0.0
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,Debt,11.4713,0.0
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,Debt,35.7541,0.0
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,Debt,13.3814,0.0
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,Debt,10.3894,0.0
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Debt,13.6216,0.0
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Debt,13.6157,0.0
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Debt,13.288,0.0
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Debt,13.2891,0.0
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Debt,22.142,0.0
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Debt,10.2811,0.0
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Debt,22.142,0.0
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Debt,10.7675,0.0
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Debt,10.8548,0.0
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Debt,10.2801,0.0
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Debt,21.2861,0.0
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Debt,10.6902,0.0
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Debt,10.7895,0.0
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Debt,22.1417,0.0
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Debt,12.3452,0.0
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Debt,21.2861,0.0
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1503.3349,0.0
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,Debt,3413.0049,0.0
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1306.9586,0.0
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1499.9965,0.0
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,Debt,3204.028,0.0
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1461.7657,0.0
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1220.5558,0.0
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),Debt,1461.4177,0.0
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Debt,11.7065,0.0
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Debt,11.4008,0.0
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Debt,10.6356,0.0
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Debt,11.6319,0.0
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Debt,11.6582,0.0
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,Debt,11.6493,0.0
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,Debt,11.1411,0.0
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,Debt,11.1681,0.0
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,Debt,11.0236,0.0
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,Debt,10.1418,0.0
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,Debt,21.8981,0.0
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt,10.23,0.0
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Debt,44.9774,0.0
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Debt,11.1972,0.0
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,Debt,21.7644,0.0
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt,10.355,0.0
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,Debt,44.3089,0.0
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Debt,11.2288,0.0
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Debt,12.1035,0.0
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,Debt,35.6206,0.0
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Debt,11.4908,0.0
148656,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,Debt,1340.166,0.0
148655,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,Debt,1307.0126,0.0
148672,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,Debt,1175.5637,0.0
148678,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1326.6221,0.0
148681,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,Debt,1154.6717,0.0
148670,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1173.4264,0.0
148675,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1130.6365,0.0
148669,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1144.2682,0.0
148667,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1246.8654,0.0
148674,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1132.2416,0.0
148668,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1143.8748,0.0
148679,TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,Debt,1111.7684,0.0
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,Debt,13.6452,0.0
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,Debt,19.8968,0.0
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,Debt,23.0893,0.0
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,Debt,15.3215,0.0
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,Debt,13.5297,0.0
126942,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,Debt,17.1851,0.0
140116,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,Debt,13.3749,0.0
133971,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,Debt,15.2013,0.0
139407,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,Debt,15.1376,0.0
136110,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,Debt,13.2797,0.0
126941,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,Debt,15.5558,0.0
126939,UTI Banking & PSU Fund- Regular Plan - Growth Option,Debt,22.6679,0.0
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Debt,117.8447,0.0
103178,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,Debt,115.7494,0.0
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,Debt,10.9747,0.0
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,Debt,12.7665,0.0
124833,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,Debt,12.3126,0.0
103183,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,Debt,12.5562,0.0
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,Debt,10.2348,0.0
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,Debt,10.204,0.0
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,Debt,14.5733,0.0
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,Debt,10.3665,0.0
141588,Axis Corporate Bond Fund - Direct Plan Growth,Debt,18.6801,0.0
141589,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,Debt,10.2314,0.0
141594,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,Debt,10.1948,0.0
141595,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,Debt,13.5891,0.0
141592,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,Debt,10.2449,0.0
141593,Axis Corporate Bond Fund - Regular Plan Growth,Debt,17.5884,0.0
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,Debt,10.8174,0.0
135916,BANDHAN Corporate Bond Fund - Direct Growth,Debt,20.3835,0.0
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,Debt,11.6823,0.0
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,Debt,10.3528,0.0
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,Debt,13.5233,0.0
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,Debt,10.6286,0.0
139204,BANDHAN Corporate Bond Fund - Regular Annual IDCW,Debt,10.7808,0.0
135914,BANDHAN Corporate Bond Fund - Regular Growth,Debt,19.7574,0.0
139203,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,Debt,11.054,0.0
139202,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,Debt,10.6034,0.0
